item_id,model,abc_xyz,pattern,recommended,mape,mae,rmse,bias
M5_HOBBIES_1_008_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,209.38157894736844,4.958571428571429,6.095064748279077,1.5671428571428572
M5_HOBBIES_1_015_CA_1_evaluation,chronos-2,A-Z,regular,chronos2,52.141666666666666,1.7842857142857143,2.0007677097982737,-0.9928571428571428
M5_HOBBIES_1_048_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,95.22990531635854,10.244285714285715,11.05023787720686,-5.1414285714285715
M5_HOBBIES_1_151_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,25.0,0.7142857142857143,0.8451542547285166,0.14285714285714285
M5_HOBBIES_1_178_CA_1_evaluation,chronos-2,A-Z,regular,chronos2,40.2,1.697142857142857,2.0556542232861745,0.13714285714285715
M5_HOBBIES_1_189_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,128.62490450725747,10.428571428571429,11.753418955472366,-5.0
M5_HOBBIES_1_254_CA_1_evaluation,chronos-2,A-Z,regular,chronos2,62.27257696007697,4.465714285714285,5.00345594849914,-1.1771428571428575
M5_HOBBIES_1_256_CA_1_evaluation,chronos-2,A-Z,regular,chronos2,95.13275862068966,7.437142857142858,11.241195920109467,-4.6000000000000005
M5_HOBBIES_1_268_CA_1_evaluation,chronos-2,A-Z,regular,chronos2,94.43265993265994,7.3185714285714285,10.630112887453265,-1.8785714285714283
M5_HOBBIES_1_278_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,91.8457142857143,4.981428571428572,6.531120008959304,0.2899999999999999
M5_HOBBIES_1_295_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,100.42976190476192,2.5100000000000002,2.881822340117447,0.42714285714285744
M5_HOBBIES_1_341_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,54.42820512820513,3.5914285714285716,4.467936564327782,-0.5742857142857141
M5_HOBBIES_1_348_CA_1_evaluation,chronos-2,A-Z,regular,chronos2,98.49087024087024,8.51,10.79958663230086,-6.738571428571428
M5_HOBBIES_1_370_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,162.60380952380953,5.061428571428571,7.01299100649237,-0.5700000000000003
M5_HOBBIES_1_371_CA_1_evaluation,chronos-2,A-Z,regular,chronos2,163.36009070294787,4.728571428571429,6.220631571059095,0.522857142857143
M5_HOUSEHOLD_1_110_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,41.18449328449328,2.775714285714286,3.3199462129894295,0.5728571428571426
M5_HOUSEHOLD_1_118_CA_1_evaluation,chronos-2,A-Y,regular,chronos2,109.94648526077097,5.394285714285714,7.1274218941453755,-0.9971428571428573
M5_HOUSEHOLD_1_151_CA_1_evaluation,chronos-2,A-Y,regular,chronos2,113.80892857142858,3.39,4.208696778270986,0.9528571428571427
M5_HOUSEHOLD_1_270_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,85.5,0.4928571428571428,0.6998673343672254,0.004285714285714274
M5_HOUSEHOLD_1_334_CA_1_evaluation,statistical_ma7,A-Z,lumpy,sba,257.93796296296296,6.715714285714285,7.756419461139454,6.715714285714285
SKU001,chronos-2,A-X,regular,chronos2,29.851391347168306,36.74571428571429,50.16828878883552,36.74571428571429
SKU002,chronos-2,Unknown,unknown,none,13.406677695414084,3.4057142857142857,3.7931630223713975,-1.745714285714286
SKU003,chronos-2,Unknown,unknown,none,14.0182858233795,6.031428571428571,7.661324018359079,-3.5
SKU004,chronos-2,Unknown,unknown,none,13.444421115148614,9.317142857142857,12.22081596527592,0.634285714285715
SKU005,chronos-2,Unknown,unknown,none,12.094089629954187,3.7885714285714287,4.086839505394987,-2.208571428571429
SKU006,chronos-2,Unknown,unknown,none,12.112439346353542,10.185714285714285,11.223365932604302,-3.01714285714286
SKU007,chronos-2,Unknown,unknown,none,13.296328336570092,7.338571428571428,7.903148558824966,2.038571428571429
SKU008,chronos-2,Unknown,unknown,none,34.12157823264686,23.16857142857143,27.41753974583215,11.98
SKU009,chronos-2,Unknown,unknown,none,14.221697187609976,4.5685714285714285,6.007233734661665,4.045714285714285
SKU010,chronos-2,Unknown,unknown,none,8.034361069708329,6.592857142857143,8.790419297654205,0.4442857142857162
SKU011,chronos-2,Unknown,unknown,none,6.676667146294474,1.6042857142857139,1.9709424866581684,1.298571428571428
SKU012,chronos-2,Unknown,unknown,none,18.170521194341436,23.07428571428571,31.274402586506064,20.5
SKU013,chronos-2,Unknown,unknown,none,14.417093694862432,17.59285714285714,20.181668839391282,-1.6557142857142841
SKU014,chronos-2,Unknown,unknown,none,32.29925734186901,24.870000000000005,28.55398521097487,10.664285714285713
SKU015,chronos-2,Unknown,unknown,none,10.808473024115656,8.164285714285716,10.122174385264975,-1.1242857142857139
SKU016,chronos-2,Unknown,unknown,none,26.88237130110859,10.980000000000002,13.148113389923502,8.777142857142858
SKU017,chronos-2,Unknown,unknown,none,13.003557962109614,16.78571428571429,20.102149849491937,10.568571428571433
SKU018,chronos-2,Unknown,unknown,none,19.130280415212738,12.828571428571426,14.774374533534163,4.951428571428571
SKU019,chronos-2,Unknown,unknown,none,22.76130619782756,6.264285714285714,8.509946281515866,2.952857142857142
SKU020,chronos-2,Unknown,unknown,none,14.196765767473236,15.61142857142857,17.46700235955132,3.154285714285714
