date,store_id,sku,category,sales_qty,price,base_price,inventory_level,promo_flag,holiday_flag,marketing_index,is_weekend,lead_time_days
2023-01-01,STORE001,SKU001,home,245,62.07,62.58,4570,0,1,0.4,1,7
2023-01-02,STORE001,SKU001,home,127,62.58,62.58,4443,0,0,0.1,0,7
2023-01-03,STORE001,SKU001,home,131,62.58,62.58,4312,0,0,0.1,0,7
2023-01-04,STORE001,SKU001,home,124,62.58,62.58,4188,0,0,0.1,0,7
2023-01-05,STORE001,SKU001,home,126,62.58,62.58,4062,0,0,0.1,0,7
2023-01-06,STORE001,SKU001,home,96,62.58,62.58,3966,0,0,0.1,0,7
2023-01-07,STORE001,SKU001,home,214,62.58,62.58,3752,0,0,0.1,1,7
2023-01-08,STORE001,SKU001,home,173,62.58,62.58,3579,0,0,0.1,1,7
2023-01-09,STORE001,SKU001,home,146,62.58,62.58,3433,0,0,0.1,0,7
2023-01-10,STORE001,SKU001,home,133,62.58,62.58,3300,0,0,0.1,0,7
2023-01-11,STORE001,SKU001,home,132,62.58,62.58,3168,0,0,0.1,0,7
2023-01-12,STORE001,SKU001,home,166,62.58,62.58,3002,0,0,0.1,0,7
2023-01-13,STORE001,SKU001,home,153,62.58,62.58,2849,0,0,0.1,0,7
2023-01-14,STORE001,SKU001,home,188,62.58,62.58,2661,0,0,0.1,1,7
2023-01-15,STORE001,SKU001,home,176,62.58,62.58,2485,0,0,0.1,1,7
2023-01-16,STORE001,SKU001,home,148,62.58,62.58,2337,0,0,0.1,0,7
2023-01-17,STORE001,SKU001,home,144,62.58,62.58,2193,0,0,0.1,0,7
2023-01-18,STORE001,SKU001,home,158,62.58,62.58,2035,0,0,0.1,0,7
2023-01-19,STORE001,SKU001,home,123,62.58,62.58,1912,0,0,0.1,0,7
2023-01-20,STORE001,SKU001,home,174,62.58,62.58,1738,0,0,0.1,0,7
2023-01-21,STORE001,SKU001,home,184,62.58,62.58,1554,0,0,0.1,1,7
2023-01-22,STORE001,SKU001,home,240,62.58,62.58,1314,0,0,0.1,1,7
2023-01-23,STORE001,SKU001,home,157,62.58,62.58,1157,0,0,0.1,0,7
2023-01-24,STORE001,SKU001,home,172,62.58,62.58,985,0,0,0.1,0,7
2023-01-25,STORE001,SKU001,home,132,62.58,62.58,853,0,0,0.1,0,7
2023-01-26,STORE001,SKU001,home,120,62.58,62.58,733,0,0,0.1,0,7
2023-01-27,STORE001,SKU001,home,172,62.58,62.58,561,0,0,0.1,0,7
2023-01-28,STORE001,SKU001,home,198,62.58,62.58,363,0,0,0.1,1,7
2023-01-29,STORE001,SKU001,home,182,62.58,62.58,181,0,0,0.1,1,7
2023-01-30,STORE001,SKU001,home,160,62.58,62.58,21,0,0,0.1,0,7
2023-01-31,STORE001,SKU001,home,21,62.58,62.58,0,0,0,0.1,0,7
2023-02-01,STORE001,SKU001,home,0,62.58,62.58,0,0,0,0.1,0,7
2023-02-02,STORE001,SKU001,home,0,62.58,62.58,0,0,0,0.1,0,7
2023-02-03,STORE001,SKU001,home,0,62.58,62.58,0,0,0,0.1,0,7
2023-02-04,STORE001,SKU001,home,182,62.58,62.58,3799,0,0,0.1,1,7
2023-02-05,STORE001,SKU001,home,236,62.58,62.58,7543,0,0,0.1,1,7
